taxon,ITS,matK,matR,ndhF,rbcL,trnL-trnF,18S,atpB,
Griselinia,AJ536582.1,AJ429372.1,AY453096.1,AF130205.1,AF307916.1,AJ537454.1,AJ236000.1,AF209595.1,
Grisollea,,,,AJ312955.1,,,,,
Grobya,EU877158.1,AF470457.1,,,,,,,
Groenlandia,KF270901.1,KU127320.1,,HQ901546.1,AB196954.1,DQ786416.1,,HQ901521.1,
Gronovia,AF503201.1,AF503300.1,,,U17875.1,AY254245.1,,,
Grosourdya,KJ733421.1,AB217729.1,,,,KJ733658.1,,,
Grossera,,,,,AY794976.1,,,,
Grossularia,,,,,,,,,
Grosvenoria,,,,,,,,,
Groutiella,,,,,AF005527.1,AY636033.1,,,
Grubbia,,AJ429276.1,,AJ400890.1,Z83141.1,JF321165.1,,JF298839.1,
Grusonia,HQ872575.1,FN997044.1,,,LN871110.1,HM041281.1,,,
Guacamaya,,,,AF207636.1,,,,,
Guadua,AY993946.1,HE573923.1,,GU222725.1,AM849367.1,EU434071.1,,,
Guaduella,,KC123409.1,,AF164777.1,KC123368.1,,,,
Guaiacum,JX486718.1,KF224982.1,AY674517.1,EU002225.1,AJ131770.1,JX682627.1,AY674599.1,AJ235486.2,
Guanchezia,,KF660283.1,,,,,,,
Guapira,EF079476.1,FN597630.1,,,KF981271.1,KU172541.1,,,
Guardiola,AF465859.1,AY215803.1,,,AY215122.1,AY216181.1,,KJ434426.1,
Guarea,FJ037836.1,AY128188.1,,,JQ626153.1,EU853797.1,GU476419.1,,
Guarianthe,KR149439.1,AF263814.1,,,,KR231621.1,,,
Guatteria,,KP859348.1,,EF179298.1,JQ625846.2,KP859331.1,,,
Guayania,KP454363.1,,,KP454939.1,,,,,
Guazuma,AY083658.1,JQ589300.1,,AF111776.1,GU981727.1,HQ656780.1,KJ937008.1,GU981694.1,
Gueldenstaedtia,AB854488.1,JQ619966.1,,,GQ436359.1,KP338269.1,,,
Guembelia,,,,,,,,,
Guerramontesia,,,,,,HM148907.1,,,
Guettarda,FJ037857.1,LN680358.1,,AJ236297.1,KF964838.1,AF152727.1,AJ236029.1,AJ236196.1,
Guevaria,,,,,,,,,
Guianodendron,JX124488.1,JX124403.1,,,,,,,
Guibourtia,AY955801.1,EU361963.1,,,JX572650.1,AY958510.1,,,
Guichenotia,,HM488450.1,,AF287938.1,,HQ656770.1,,,
Guiera,FJ381769.1,,,,FJ381803.1,,,,
Guihaia,,AM114569.1,,HQ720626.1,AJ404755.1,AJ241261.1,,,
Guihaiothamnus,KJ680476.1,,,KJ680409.1,KJ680433.1,,,,
Guilandina,KC922446.1,EU361900.1,,,KJ773327.1,AF430708.1,,,
Guilfoylia,,EU604031.1,,,L29494.1,AF367010.1,,,
Guillandinodes,,,,,,,,,
Guilleminea,AY173411.1,AY514803.1,,,AY270091.1,EF688764.1,,,
Guillenia,,,,,,,,,
Guillonea,,,,,,,,,
Guindilia,,AY724296.1,,,AY724354.1,EU721399.1,,,
Guinetia,JX870742.1,AY386844.1,,EU811901.1,KR082842.1,JX870854.1,,,
Guioa,JN681324.1,JN681381.1,,,AY724355.1,KC428529.1,,GU816994.1,
Guiraoa,AY722468.1,JN584987.1,,,,,,,
Guizotia,,,,,KM360809.1,AM411170.1,,,
Gundelia,AY504691.1,EU385361.1,,EU385169.1,EU384982.1,AY504773.1,,KT345002.1,
Gundlachia,,,,,,,,,
Gunillaea,,,,,,,,,
Gunnarella,AB217554.1,AB217730.1,,,,,,,
Gunnera,AF447747.1,AM396506.2,DQ401383.1,EU002226.1,AF307919.1,AM397168.1,,EU002162.1,
Gunnessia,DQ334446.1,,,,DQ334570.1,DQ334528.1,,,
Gunniopsis,AJ582914.2,,,,,,,,
Gurania,GQ489932.1,AY968450.1,,AY968502.1,DQ535814.1,DQ536821.1,AY973013.1,AY968435.1,
Guraniopsis,,,,,,,,,
Gustavia,,,,,,,,,
Gutenbergia,KR734251.1,KR734401.1,,L39429.1,KR737381.1,KR738446.1,,,
Guthriea,,EF135545.1,,,AJ402956.1,,,,
Gutierrezia,AY523849.1,,,,JX848415.1,,KT179671.1,,
Guynesomia,DQ479035.1,,,,,,,,
Guyonia,JQ730084.1,,,,,,,,
Guzmania,,AY614065.1,,L75904.1,AY614431.1,AY614308.1,KC788206.1,,
Gyminda,EU328727.1,HQ267102.1,,,KJ082351.1,HQ267124.1,,,
Gymnacranthera,,AY220446.1,,AY218183.1,JF739021.1,AY220370.1,JQ002591.1,,
Gymnadenia,KT318278.1,EF612530.1,,,JQ933349.1,KM651593.1,,,
Gymnaglossum,,,,,,,,,
Gymnanacamptis,,,,,,,,,
Gymnanthe,,,,,,,,,
Gymnanthemum,HQ158404.1,JN837395.1,,L39427.1,,HQ158456.1,,,
Gymnanthera,DQ916850.1,EF456376.1,,,EU196276.1,EF456106.1,,,
Gymnanthes,JN250092.1,LK021447.1,,JN249083.1,AY794977.1,AY794641.1,,,
Gymnarrhena,KT865483.1,EU385362.1,,EU385170.1,EU384983.1,EU385076.1,,KM192007.1,
Gymnaster,,,,,,,,,
Gymnema,FM178492.1,JX193234.1,,,JQ933350.1,HG530575.1,,,
Gymnemopsis,,,,,,,,,
Gymnocalycium,,JX905250.1,,,HQ188311.1,JX905269.1,,,
Gymnocarpium,,JX874031.1,,,KF186524.1,HQ676528.1,,JF832165.1,
Gymnocarpos,KF815496.1,FJ404837.1,,,,FJ404985.1,,,
Gymnocephalus,,,,,,,,,
Gymnocladus,AF510034.1,AY386928.2,,AF020470.1,U74193.1,AF430776.1,,,
Gymnocolea,EU791787.1,,,,KF852306.1,GQ220785.1,,KF852019.1,
Gymnocoleopsis,,,,,,,,,
Gymnocondylus,,,,,,,,,
Gymnocoronis,KJ637170.1,KJ637188.1,,KP454940.1,,,,,
Gymnodiscus,EF538217.2,GU817466.1,,GU817864.1,AM234876.1,GU818005.1,,,
Gymnogramma,,,,,,,AJ830750.1,,
Gymnogrammitis,,,,,AB232409.1,EU128517.1,,JX103647.1,
Gymnolaena,AF413605.1,,,AF405292.1,,,,,
Gymnolomia,,,,,,,,,
Gymnomitrion,EU791835.1,,,,KF943624.1,JF421596.1,,KF852100.1,
Gymnopentzia,AM774453.1,,,AF153622.1,,,,,
Gymnopetalum,HQ201978.1,DQ536683.1,,,EU155601.1,DQ536824.1,,,
Gymnophragma,,,,,,,,,
Gymnophyton,,,,,DQ133809.1,,,,
Gymnopodium,JQ352534.1,GQ206197.1,,GQ206282.1,GQ206220.1,JQ352688.1,,,
Gymnopogon,GU359200.1,HE586082.1,,HE575777.1,JN681672.1,EF156703.1,,,
Gymnopsis,,,,,,,,,
Gymnopteris,,,,,,,,,
Gymnoschoenus,,,,,AY725945.1,AY230033.1,,,
Gymnosiphon,EU816718.1,,,,AF307489.1,,DQ786045.1,AF308032.1,
Gymnospermium,,AB069833.1,,AY145161.1,EF173671.1,FJ626556.1,,KU662849.1,
Gymnosphaera,,,,,,,,,
Gymnosporia,HQ267167.1,KM896905.1,AY674538.1,FJ670148.1,JQ014163.1,HQ267122.1,JX444505.1,AY788271.1,
Gymnostachys,,AM920548.1,,HQ901555.1,M91629.1,AY398579.1,AF069200.1,AF168915.1,
Gymnostachyum,,KM217082.1,,,,EU528922.1,,,
Gymnostemon,,EU042859.1,,,EU042997.1,,,EU042788.1,
Gymnostephium,,,,,,,,,
Gymnosteris,EU339816.1,EU628516.1,,AF207975.1,,EU628457.1,,,
Gymnostoma,,AY191692.1,,,AY033870.1,,,,
Gymnostomiella,,,,,,,,,
Gymnostomum,HM147797.1,,,,,HM148902.1,,,
Gymnotheca,AF203628.2,DQ882199.2,AF332103.1,,AF332099.1,AF332967.1,AY572309.1,AY572286.1,
Gymnotraunsteinera,,,,,,,,,
Gymplatanthera,,,,,,,,,
Gynandropsis,,,,,,,,,
Gynerium,KP878861.1,HE586080.1,,GU222701.1,U31105.1,KP879106.1,,,
Gynocardia,,,,,AJ402957.1,,,,
Gynochthodes,KT898207.1,JF954639.1,,KJ805075.1,KJ805669.1,,,,
Gynocraterium,JQ691810.1,,,JQ712672.1,,JQ728991.1,,,
Gynoglottis,,FR832773.1,,,FN870833.1,,,,
Gynophorea,,,,,,,,,
Gynostemma,KJ676870.1,AY968451.1,,AY968503.1,KJ676881.1,AY973007.1,AY973014.1,AY968436.1,
Gynotroches,AF130322.1,,,,AF127678.1,AF127742.1,,,
Gynoxys,EF538219.1,AF459989.1,,EF537967.1,,EF538101.1,,,
Gynura,FJ980339.1,HM989778.1,,GU817865.1,GQ436466.1,GU818006.1,,,
Gypothamnium,EU729342.1,KM192116.1,,KM192105.1,KM192094.1,EU729338.1,,KM192008.1,
Gypsacanthus,AF289779.1,,,,,,,,
Gypsophila,KF850580.1,JN589302.1,,,JQ933351.1,JN589731.1,,KX401412.1,
Gyptidium,,,,,,,,,
Gyptis,KP901162.1,,,KP454942.1,,KP901218.1,,,
Gyrandra,KP338696.1,,,,,KP338755.1,,,
Gyranthera,HQ658368.1,AY589071.1,,AF111738.1,,HQ696734.1,,,
Gyrinops,KU244106.1,KU244210.1,,,AM398173.1,AY216762.1,,,
Gyrocarpus,,DQ401370.1,AF197805.1,,L12647.2,AF012398.2,AF206923.1,AJ235487.1,
Gyrocaryum,,,,,,,,,
Gyrocheilos,HQ632997.1,KJ137893.1,,,,HQ632903.1,,,
Gyrodoma,,,,,,,,,
Gyrogyne,,,,,,,,,
Gyroptera,,,,,,,,,
Gyrosorium,,,,,,,,,
Gyrostachys,,,,,,,,,
Gyrostemon,DQ987075.1,AY483237.1,,AY483253.1,FJ212210.1,FJ212281.1,AF070971.1,GQ497646.1,
Gyrostipula,AJ346867.1,,,GQ852215.1,AJ346980.1,,,,
Gyrotaenia,KM586472.1,KF138011.1,,,KM586558.1,KF138345.1,KF137765.1,,
Gyrothyra,,,,,DQ268970.1,KF942997.1,,KF852104.1,
Gyroweisia,HM147799.1,,,,,,,,
Haageocereus,,AY015329.1,,,JQ889304.1,HM041285.1,,,
Haastia,AF422122.1,AY554075.1,,,JQ933352.1,,,,
Habenaria,KR350167.1,KJ021406.1,,U20604.1,KJ773544.1,AJ409418.1,,,
Haberlea,AF316898.1,,,,AJ490909.1,AJ492296.1,,,
Habracanthus,DQ372476.1,,,,,,,,
Habranthus,JX464298.1,JX464579.1,,JX903342.1,AF116959.1,JX464383.1,,JX903759.1,
Habrochloa,,,,,,,,,
Habrodon,AY528880.1,,,,GU568677.1,AY527126.1,,,
Habroneuron,,,,,,,,,
Habropetalum,,AF204845.1,,,,,,,
Hackelia,JQ388504.1,JQ388533.1,,JQ388561.1,KP643929.1,KF288060.1,,,
Hackelochloa,,,,,,,,,
Hacquetia,,,,,,,,,
Haeckeria,JQ956568.1,AF151467.1,,,,AF141813.1,,,
Haegiela,JX564730.1,AY143608.1,,,,AY143600.1,,,
Haemanthus,HM140806.1,JX464559.1,,FJ264221.1,AF116960.1,HM140816.1,,JX903760.1,
Haematodendron,,AY220447.1,,,,AY220371.1,,,
Haematostaphis,,,,,,,,,
Haematostemon,,,,,,,,,
Haematoxylum,,AY386905.1,,,AY904385.1,AF430777.1,,,
Haemodorum,,EU499289.1,,,HQ845620.1,EU499230.1,,,
Haenianthus,,LN515426.1,,DQ673282.1,DQ673308.1,LN515471.1,,,
Haesselia,,,,,,,,,
Hagenbachia,,JX903579.1,,JX903368.1,JX903170.1,,,JX903786.1,
Hageniella,,,,,KP127074.1,,,,
Hagsatera,AY008515.1,AY396088.1,,,,AY422391.1,,,
Hainanecio,,,,,,,,,
Hainardia,KJ598947.1,HE646577.1,,HE575742.1,EF125153.1,AF533035.1,,,
Hainardiopholis,,,,,,,,,
Haitimimosa,,,,,,,,,
Hakea,KJ872952.1,JQ257232.1,,JQ257364.1,KJ872967.1,KJ872997.1,,,
Hakonechloa,,FR839620.1,,FR839622.1,FR839621.1,EF137574.1,,,
Halacsya,EU919588.1,EU919618.1,,,,,,,
Halanthium,EF453417.1,,,,,,,,
Halarchon,,,,,,,,,
Haldina,AJ605972.1,,,GQ852217.1,X83639.1,,,,
Halenia,JX569822.1,JN591346.1,KC535837.1,,KJ947381.1,KJ947708.1,KC535938.1,,
Halerpestes,GU552270.1,FM242776.1,,KU662919.1,AY954490.1,FJ626544.1,,EU053883.1,
Halesia,AF396440.1,DQ924097.1,AF421009.1,AF130214.1,EU980808.1,DQ924314.1,L49284.1,AJ236226.1,
Halimium,GQ281661.1,DQ092973.1,,,GQ281669.1,GQ281666.1,,,
Halimocnemis,EF453420.1,,,,HM131763.1,,,,
Halimodendron,KP338147.1,JQ619947.1,,,FJ537237.1,AB854534.1,,,
Halimolobos,AF307642.1,DQ406763.1,,EU718621.1,FN594846.1,AF307540.1,,,
Halleorchis,,,,,,,,,
Halleria,AJ616321.1,AY667476.1,,AJ550569.1,AF026828.1,,,HQ384732.1,
Hallianthus,,KF132695.1,,,KF132567.1,KF132812.1,,,
Halocarpus,AY083046.1,JN627253.1,,,JN627276.1,AY083086.1,AF342762.1,JN627247.1,
Halocharis,EF453428.1,,,,HM630094.1,,,,
Halocnemum,KF805139.1,AY514842.1,,AY858616.1,AY270094.1,DQ499386.1,,,
Halodule,KM676403.1,AY952424.1,,HQ901549.1,HQ901575.1,,AY952401.1,HQ901525.1,
Halogeton,EF453431.1,,,HM630036.1,HM630095.1,,,,
Halopegia,JQ341258.1,AY140292.1,,,,AY140373.1,,,
Halopeplis,DQ340143.1,,,AY858617.1,AY270095.1,EU544010.1,,,
Halophila,KM609942.1,AB002570.1,,,U80699.1,,JQ041659.1,,
Halophytum,EU410352.1,AY514852.1,GU351219.1,HQ843270.1,AJ403024.1,KF951093.1,GQ497574.1,GQ497647.1,
Halopyrum,KJ004312.1,,,,,,,,
Haloragis,KC988282.1,EF179022.1,EF370714.1,EF207466.1,U26325.2,,U42550.1,AF093376.1,
Haloragodendron,EF178786.1,KJ768842.1,,,,,,,
Halosarcia,,,,,,,,,
Halosciastrum,AY330503.1,,,,,,,,
Halosicyos,,DQ536684.1,,,DQ535755.1,DQ535879.1,,,
Halostachys,DQ499342.1,DQ499402.1,,,HM630096.1,DQ499387.1,,,
Halothamnus,EF453435.1,,,HM630052.1,HM630097.1,,,,
Halotis,,,,,,,,,
Haloxylon,KP318646.1,FR775277.1,,,HM131767.1,,,,
Hamadryas,GU257974.1,GU257982.2,,,EU053914.1,,,EU053884.1,
Hamamelis,GU576667.1,KC737241.1,AF520087.1,KC737258.1,AY263940.1,DQ352357.1,AY147113.1,AF093380.1,
Hamatocactus,,,,,,,,,
Hamatocaulis,AY625994.1,,,,AY625968.1,AY626012.1,,AF322343.1,
Hamatostrepta,,,,,KF852407.1,,,KF852101.1,
Hamelia,JX468353.1,AY538391.1,,GQ852218.1,KT218728.1,JX474907.1,,,
Hamilcoa,,,,,,,,,
Hammada,EF453440.1,,,,JQ693459.1,,,,
Hammarbya,,JN894395.1,,,JN891265.1,,,,
Hammatolobium,AY325279.1,JQ619984.1,,,,,,,
Hammeria,AJ438220.1,KF132697.1,,,KF132568.1,KF132814.1,,,
Hampea,KT966931.1,KT966970.1,,KT967008.1,GQ981758.1,,,,
Hampeella,HE659999.1,,,,AY524435.1,DQ194223.1,,,
Hampeohypnum,,,,,,,,,
Hanabusaya,HQ704540.1,KC146487.1,,,EU713432.1,HQ704657.1,,EU437658.1,
Hanburia,JN560189.1,DQ536685.1,,,DQ535752.1,DQ536825.1,,,
Hancea,DQ866528.1,LK021407.1,,,,DQ899184.1,,,
Hanceola,FJ593353.1,,,,,FJ593416.1,,,
Hancockia,,KF852675.1,,,KF852719.1,,,,
Hancornia,,DQ660519.1,,,DQ660646.1,,,,
Handelia,AM774422.2,,,,,,,,
Handeliobryum,FM161110.1,,,,,,,,
Handeliodendron,AM182904.1,AY724299.1,,,DQ978446.1,EF186776.1,,,
Handroanthus,KM054214.1,KM219811.1,,EF105048.1,JQ625850.2,EF105087.1,,,
Hanghomia,,,,,,,,,
Hanguana,KF933731.1,KJ195540.1,,AY125006.1,AJ417896.1,KF933753.1,AF387604.1,AF387602.1,
Haniffia,KJ452784.1,KJ452785.1,,,,,,,
Hannonia,HM010960.1,HM011041.1,,AY747086.1,AF116961.1,FN663925.1,,,
Hansenia,AB558252.1,FJ986079.1,,,GQ436637.1,,,,
Hanslia,,,,,,,,,
Hansteinia,,,,,,,,,
Hapaline,,AF387431.1,,,AF497112.1,AY081004.1,,,
Hapalorchis,FN556165.1,HE575502.1,,,,HE575525.1,,,
Haplocarpha,DQ444735.1,JN837375.1,,L39426.1,KP110325.1,DQ889659.1,,,
Haplochorema,,,,,,,,,
Haplocladium,AF168160.1,,,,FJ572300.1,AY527129.1,,AF322305.1,
Haploclathra,AY625630.1,HQ331614.1,HQ331765.1,HQ331919.1,HQ332068.1,,,,
Haplocoelopsis,EU720441.1,AY724300.1,,,,EU721391.1,,,
Haplocoelum,EU720410.1,AY724302.1,,,JX572666.1,EU721335.1,,,
Haplodiscus,,,,,,,,,
Haplodon,,,,,,,,,
Haplodontium,,,,,AF546854.1,AY150360.1,,,
Haploesthes,DQ122545.1,,,,,DQ122618.1,,,
Haplohymenium,FM161112.1,,,,AJ400477.1,,,,
Haplolejeunea,KT626908.1,,,,KT626925.1,KT626939.1,,,
Haplolobus,,,,,JF738947.1,,,,
Haplomitrium,,,,,DQ268971.1,AF231900.1,Y19006.1,HQ412996.1,
Haplopappus,JQ011978.1,,,,,,,,
Haplophyllum,AY484571.1,HM164034.1,,,,HM163856.1,GU476446.1,,
Haplophyton,,DQ660520.1,,,DQ660647.1,AF214209.1,,,
Haplopteris,,KM884720.1,,KC812939.1,U21296.1,JF980704.1,,EF452035.1,
Haplorhus,,,,,,KP055516.1,,,
Haplormosia,,,,,,,,,
Haplosciadium,,,,,,,,,
Haplosphaera,EU236167.1,,,,,,,,
Haplostachys,KF529541.1,HQ911565.1,,,AF501987.1,FJ854166.1,,,
Haplostichanthus,,,,,KF496689.1,,,,
Haplothismia,,,,,,,DQ786082.1,,
Haptanthus,,,,,,,,,
Haptocarpum,,,,,,,,,
Haptotrichion,,AF151468.1,,,,AF141781.1,,,
Haptymenium,,,,,,,,,
Haraella,DQ091686.1,AB217731.1,,,FN870836.1,KJ733659.1,,,
Harbouria,AF358560.1,,,,,,,,
Hardenbergia,,EU717425.1,,,U74241.1,EU717331.1,,EU717526.1,
Hardwickia,AY955789.1,EU361967.1,,,,AF549261.1,,,
Harfordia,JQ352524.1,,,,,JQ352678.1,,,
Hariota,,,,,,,,,
Harleya,,,,,,,,,
Harleyodendron,JX152665.1,JX152592.1,,,,AY438095.1,,,
Harmogia,,,,,,,,,
Harmonia,,,,,,,,,
Harmsia,,,,,,,,,
Harmsiodoxa,JX630162.1,,,,JX630172.1,,,,
Harmsiopanax,DQ007375.1,,,JX106034.1,AY753251.1,AY753278.1,,,
Harnackia,AF413615.1,,,,,,,,
Harpachne,GU359113.1,,,GU359734.1,KR737497.1,KR738645.1,,,
Harpagocarpus,,,,,,,,,
Harpagonella,KF849150.1,,,,,KC542590.1,,,
Harpalejeunea,KX113495.1,,,,DQ983685.1,KX113483.1,,,
Harpalyce,KJ028469.1,AF142689.1,,,,,,,
Harpanthus,,,,,KF852272.1,KJ802065.1,,DQ792461.1,
Harpephyllum,KF664197.1,AY594469.1,,KF664347.1,GU935428.1,AY594518.1,,GU943763.1,
Harperia,,GQ409020.1,,,AF148776.1,AF148737.1,,,
Harpidium,,,,,,,AY149681.1,,
Harpochilus,AF289762.1,,,,,,,,
Harpochloa,KP873400.1,JN681620.1,,JN681736.1,JN681673.1,DQ655859.1,,,
Harpophyllum,,,,,,,,,
Harpullia,EU720448.1,AF314805.1,,,KR529415.1,AY207573.1,GU476416.1,GU816995.1,
Harrimanella,HM182082.1,U61315.2,,,U82766.1,,,,
Harrisia,,AY015324.1,,,JN166866.1,DQ099939.1,,,
Harrisonia,GU178980.1,,,,U38863.1,GU178986.1,,JX307295.1,
Harrysmithia,GQ379321.1,,,,,,,,
Hartia,,,,,,,,,
Hartleya,,,,,,,,,
Hartliella,,,,,,,,,
Hartmannia,,,,,,,,,
Hartwrightia,HQ416322.1,HQ416284.1,,HQ416201.1,HQ416173.1,,,,
Harungana,KC709362.1,HQ331615.1,HQ331766.1,HQ331920.1,AF518396.1,KC709062.1,,,
Harveya,EU259270.1,AF051983.1,,,DQ017786.1,,U59950.1,,
Haselhoffia,,,,,,,,,
Hasseltia,,EF135546.1,AY674518.1,AY757134.1,GQ981759.1,AY757025.1,AY674600.1,,
Hasseltiopsis,,,,AY757136.1,,AY757026.1,,,
Hasteola,KJ418352.1,,,,,,,,
Hastingia,,,,,,,,,
Hastingsia,,,,,,,KP331439.1,,
Hatiora,HQ727783.1,AY015341.1,,,FR853381.1,HM041288.1,,,
Hatschbachiella,KP454367.1,,,KP454943.1,,,,,
Hattoria,,,,,,,,,
Hattorianthus,KJ577205.1,,,,AY507403.1,AY507533.1,AY688714.1,AY507359.1,
Hattoriella,,,,,,,,,
Hattorioceros,,,,,JF815580.1,,,,
Hattoriolejeunea,,,,,,,,,
Haumania,AY673053.1,AY140293.1,,AY656091.1,AY656119.1,AY140374.1,,,
Haumaniastrum,,,,,,AJ505540.1,,,
Hauya,GQ232550.1,,,AF495778.1,L10227.1,AY264496.1,M82656.1,,
Havardia,KF921698.1,AF274125.1,,,Z70150.1,AF522956.1,,,
Havetiopsis,AY145230.1,,,,,,,,
Hawkesiophyton,,,,EU126021.1,,,,,
Haworthia,KF013341.1,KJ557844.1,,JQ276791.1,KF013429.1,JX630244.1,JQ283936.1,JQ273614.1,
Haydenia,,,,,,,,,
Haynaldoticum,,,,,,,,,
Hazardia,,,,,,,,,
Hebanthe,,FR870370.1,,,AY270097.1,EF688768.1,,,
Hebantia,,,,,AY118240.1,AF545008.1,AY126958.1,,
Hebe,AH010909.3,,,,KM360810.1,KJ630754.1,,,
Hebecarpa,,,,,,,,,
Hebecladus,,,,,,,,,
Hebeclinium,KP454368.1,,,KP454944.1,,,,,
Hebenstretia,AJ584797.1,,,AF027285.1,AJ001767.1,AJ586097.1,,,
Hebepetalum,,HM544092.1,,,JQ625741.1,,,,
Heberdenia,KJ189029.1,KJ747718.1,,,KJ595677.1,,,,
Hebestigma,AF398763.1,AF543850.1,,,,,,,
Hecastocleis,KF989598.1,KF989907.1,,EU385171.1,EU384984.1,KF989706.1,,KM192009.1,
Hecatostemon,,,,AY757137.1,,AY757027.1,,,
Hechtia,,AY614020.1,,HQ895752.1,AY614386.1,AY614264.1,,,
Hecistopteris,,,,,U21286.1,,,EF452036.1,
Heckeldora,AY695592.1,AY128189.1,,,AJ402959.1,,,,
Hectorella,,EF551350.1,,,EF551347.1,,,,
Hedbergia,JF900519.1,JF900583.1,,,,KM434123.1,,,
Hedenaesia,AY166449.1,,,,FJ262465.1,AY184791.1,,,
Hedenasiastrum,AY737463.1,,,,AY663303.1,,,,
Hedeoma,JQ669101.1,GU381757.1,,,KP644028.1,DQ667436.1,,,
Hedera,U63186.1,KF412428.1,DQ401390.1,AF130203.1,KP088628.1,EU786163.1,X16604.1,,
Hederorkis,KJ401030.1,KC339534.1,,,FN870838.2,,,,
Hedosyne,,,,,,,,,
Hedstromia,KF675911.1,,,KF675999.1,,,,,
Hedwigia,,LN828334.1,,JN162195.1,AF478234.1,LN714329.1,,DQ646077.1,
Hedwigidium,,,,,,,,,
Hedycarya,EF660546.1,AM396509.2,AF197806.1,AY218167.1,L12648.2,AM397149.1,AF206924.1,AJ235490.1,
Hedychium,KJ872189.1,KJ872439.1,HQ437980.1,AY124998.1,KJ871840.1,KU215226.1,,AF168916.1,
Hedyosmum,KM111253.1,AM920646.1,AF197756.1,DQ356470.1,L12649.2,HQ336618.1,AF206925.1,AJ235491.1,
Hedyotis,KU869654.1,LN680359.1,,LN680389.1,KJ773921.1,JX111353.1,,,
Hedypnois,EF190030.1,HM850640.1,,,HM850046.1,,,KX401365.1,
Hedysarum,KP338189.1,KP338594.1,,,EF685982.1,KP338301.1,,,
Hedyscepe,,AM114702.1,,,AJ404807.1,,,,
Hedythyrsus,AM939461.1,,,,AM117232.1,EU543107.1,,,
Heeria,AY594379.1,JX518129.1,,,AM234809.1,AY594442.1,,,
Hegnera,,AB924977.1,,,AB925603.1,,,,
Heimia,KF471200.1,GU228438.1,,KU761925.1,AY905410.1,AY905463.1,,,
Heinekenia,,,,,,,,,
Heinsenia,,,,KF965070.1,AJ286690.1,,,,
Heinsia,AJ846880.1,HM119540.1,,HM164372.1,Y11849.1,,,,
Heisteria,,DQ790196.1,GU351220.1,,DQ790163.1,EF464487.1,L24146.1,AJ235492.2,
Hekistocarpa,AM981274.1,HM119541.1,,HM164373.1,AF332366.1,AM982731.1,,,
Heladena,,AF344549.1,,AF351044.1,AF344479.1,,,,
Helanthium,HQ456399.1,HQ456463.1,,,HQ456505.1,HM367346.1,,,
Heldreichia,FN397988.1,,,,,,,,
Helenium,AH014026.2,AY215804.1,,AF384730.3,GU817764.1,GU818007.1,,KT345003.1,
Heleocharis,,,,,,,,,
Helia,,,,,,,,,
Heliamphora,AY796056.1,JQ619008.1,JQ218280.1,,KR819579.1,KR819729.1,,AF420973.1,
Heliantheae,KM388603.1,KT176592.1,GU351222.1,KT176832.1,KX283353.1,GU818008.1,,KT176240.1,
Helianthella,AY196732.1,,,,,,,,
Helianthemum,KF805114.1,DQ092970.1,GU351221.1,EU002227.1,KM360811.1,DQ093017.1,AF206926.1,AF035907.1,
Helianthostylis,,,,AY289335.1,,,,,
Helianthus,JX867644.1,KT176589.1,GU351222.1,KT176829.1,KT178109.1,GU818008.1,KT179679.1,KT176237.1,
Helicanthes,,EU544432.1,,,,,,,
Helichrysopsis,,,,,,,,,
Helichrysum,KT865521.1,KT874496.1,,HG797959.1,KX421128.1,KT874490.1,,KX401385.1,
Helicia,KP093078.1,HQ415346.1,,,KR529420.1,KC428536.1,,AF060425.1,
Heliciopsis,EU642789.1,EU642696.1,,EU642665.1,KR529421.1,EU676061.1,,EU642726.1,
Helicoblepharum,,,,,,,,,
Helicodiceros,,EU886533.1,,,AM905811.1,AB494508.1,,,
Helicodontium,FM242662.1,,,,AF233571.1,AF397855.1,,GQ497625.1,
Heliconema,JQ750473.1,,,,,,,,
Heliconia,AY673071.1,AF478908.1,,AY656108.1,JX978654.1,FJ621299.1,AF168849.1,AF168921.1,
Helicophyllum,,,,,EU186602.1,LN714300.1,,,
Helicostylis,FJ037846.1,JQ626514.1,,AY289307.1,JQ626081.1,,,,
Helicotropis,AF069123.1,DQ443468.1,,,,,,,
Helicteres,AF233300.1,AY321186.1,,AF111746.1,AJ233127.1,,,AJ233078.1,
Helicteropsis,,EF207264.1,,,,,,,
Helictonema,HM230126.1,HM230172.1,,,,HM230262.1,,,
Helictotrichon,EU792324.1,FM957010.1,,DQ786848.1,LN907948.1,EF137604.1,,DQ780994.1,
Helietta,KC502924.1,,,,,EU853799.1,,,
Helinus,HQ325386.1,JF270816.1,,,AJ390044.1,,,,
Heliocarpus,,KM219813.1,,AF111772.1,AJ233153.1,,,AJ233106.1,
Heliocauta,AJ748782.1,,,,,AJ748790.1,,,
Heliocereus,,,,,,,,,
Heliohebe,,,,,,,,,
Heliomeris,AF496937.1,,,,,,,,
Heliophila,DQ249846.1,GQ424588.1,,DQ288775.1,AM234933.1,DQ518369.1,,,
Heliopsis,KT695195.1,KT176590.1,,KT176830.1,KT178112.1,,KT179689.1,KT176240.1,
Heliotropium,KC311152.1,HQ384570.1,,KF301623.1,KF158148.1,AB758324.1,,AJ504841.2,
Helipterum,JX564731.1,,,,,JX564669.1,,,
Helixanthera,DQ333823.1,EU544431.1,,,HQ317766.1,EU544490.1,AF039077.1,,
Helleborine,,,,,,,,,
